title,image_url,amazon url,release date,developer,publisher,platforms,genres,rating,description
Grand Theft Auto: San Andreas ,https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto:%20San%20Andreas-285x380.jpg,https://www.amazon.com/Grand-Theft-Auto-San-Andreas-PlayStation/dp/B0001VGFK2/ref=sr_1_1?ie=UTF8&qid=1516869252&sr=8-1&keywords=Grand+Theft+Auto%3A+San+Andreas,Oct 26@ 2004,Rockstar North,Rockstar Games,PlayStation 2 iPhone/iPad PC PlayStation 3 PlayStation 4 Xbox 360,Action-Adventure Modern,M,[Metacritic's 2004 PS2 Game of the Year] Five years ago Carl Johnson escaped from the pressures of life in Los Santos@ San Andreas... a city tearing itself apart with gang trouble@ drugs and corruption. Where filmstars and millionaires do their best to avoid the dealers and gangbangers. Now@ it's the early 90s. Carl's got to go home. His mother has been murdered@ his family has fallen apart and his childhood friends are all heading towards disaster. On his return to the neighborhood@ a couple of corrupt cops frame him for homicide. CJ is forced on a journey that takes him across the entire state of San Andreas@ to save his family and to take control of the streets. [Rockstar]
Star Citizen ,https://static-cdn.jtvnw.net/ttv-boxart/Star%20Citizen-285x380.jpg,https://www.amazon.com/Thrustmaster-T-16000M-FCS-HOTAS-Controller/dp/B01KCHPRXA/ref=sr_1_1?ie=UTF8&qid=1516869284&sr=8-1&keywords=Star+Citizen,TBA,Cloud Imperium Games,Cloud Imperium Games,PC,Miscellaneous Sci-Fi Large Spaceship General Large Spaceship Simulation Space Civilian,T,You wake up... The hum of the fusion drive reverberates through the ship's hull. It reminds you that you should probably replace it soon. A quick check on the MobiGlas says there's an Aegis showroom on the planet you're heading to. Couldn't hurt to see what they got@ right? With the Credits you make delivering this cargo@ you should be able to buy your ship a little treat. Besides@ she's your bread and butter. You roll on your side and look out the window at the vast yawning space outside. A distant planet silently orbits a dying sun. The man behind Wing Commander@ Privateer@ Strike Commander@ Starlancer@ Freelancer and more has assembled an elite team of industry veterans to build the Space Sim Star Citizen.
Metal Gear Solid V: The Phantom Pain ,https://static-cdn.jtvnw.net/ttv-boxart/Metal%20Gear%20Solid%20V:%20The%20Phantom%20Pain-285x380.jpg,https://www.amazon.com/Metal-Gear-Solid-Phantom-Pain-PlayStation/dp/B00JKM06HG/ref=sr_1_1?ie=UTF8&qid=1516869310&sr=8-1&keywords=Metal+Gear+Solid+V%3A+The+Phantom+Pain,Sep 1@ 2015,Kojima Productions, Moby Dick Studio,PlayStation 4 PC PlayStation 3 Xbox 360 Xbox One,Modern Action-Adventure Modern Open-World,M,"Following the prologue METAL GEAR SOLID V: GROUND ZEROES, METAL GEAR SOLID V: THE PHANTOM PAIN concludes the METAL GEAR SOLID V experience by following the story of the protagonist of the series, Big Boss (a.k.a. Snake). The METAL GEAR SOLID V experience is Creator and Director Hideo Kojima's first time incorporating open world gameplay to the groundbreaking METAL GEAR franchise."
Forza Motorsport 7 ,https://static-cdn.jtvnw.net/ttv-boxart/Forza%20Motorsport%207-285x380.jpg,https://www.amazon.com/Forza-Motorsport-7-Standard-Xbox-One/dp/B072MKR1P5/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516869323&sr=1-1&keywords=Forza+Motorsport+7,Sep 29@ 2017,Turn 10,Microsoft Game Studios,Xbox One PC,Racing Simulation Automobile,E,Experience the thrill of motorsport at the limit. Enjoy graphics at 60fps and native 4K resolution in HDR. Collect and race more than 700 cars@ including the largest collection of Ferraris@ Porsches@ and Lamborghinis ever. Challenge yourself across 30 famous destinations and 200 ribbons@ where race conditions change every time you return to the track. [Microsoft]
Age of Empires II ,https://static-cdn.jtvnw.net/ttv-boxart/Age%20of%20Empires%20II-285x380.jpg,https://www.amazon.com/Age-Empires-2-Kings-PC/dp/B00002NDRY/ref=sr_1_1?ie=UTF8&qid=1516869336&sr=8-1&keywords=Age+of+Empires+II,Apr 9@ 2013,Ensemble Studios,Microsoft Game Studios,PC,Strategy-Miscellaneous Real-Time Compilation Historic Command,T,"Age of Empires II: The Age of Kings is the sequel to the award-winning, best-selling real-time strategy game ""Age of Empires."" Age of Empires II spans a thousand years, from the fall of Rome through the Middle Ages in which players lead one of 13 civilizations into greatness. The game keeps the epic scope of Age of Empires' game play while evolving the combat and economic features."
Resident Evil: Revelations 2 ,https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil:%20Revelations%202-285x380.jpg,https://www.amazon.com/Resident-Evil-Revelations-2-PlayStation-4/dp/B00NMS0YYO/ref=sr_1_1?ie=UTF8&qid=1516869366&sr=8-1&keywords=Resident+Evil%3A+Revelations+2,Nov 28@ 2017,Capcom,Capcom,Switch 3DS PC PlayStation 3 PlayStation 4 Wii U Xbox 360 Xbox One,Action-Adventure Survival,M,The fear that was originally brought to players in Resident Evil Revelations on the Nintendo 3DS system returns redefined for home consoles complete with high quality HD visuals@ enhanced lighting effects and an immersive sound experience. The critically acclaimed survival horror title takes players back to the events that took place between Resident Evil 4 and Resident Evil 5@ revealing the truth about the T-Abyss virus. Resident Evil Revelations features series favorites Jill Valentine and Chris Redfield@ plus their respective BSAA partners - Parker Luciani and Jessica Sherawat. The action begins on board a supposedly abandoned cruise ship@ the 'Queen Zenobia'@ where horrors lurk around every corner before players head for the mainland and the devastated city of Terragrigia. With limited ammo and weapons available@ the race is on to survive the horror of Resident Evil Revelations.
Cities: Skylines ,https://static-cdn.jtvnw.net/ttv-boxart/Cities:%20Skylines-285x380.jpg,https://www.amazon.com/Cities-Skylines-Xbox-One-Microsoft/dp/B06ZZCDZDQ/ref=sr_1_1?ie=UTF8&qid=1516869380&sr=8-1&keywords=Cities%3A+Skylines,Aug 15@ 2017,Tantalus Interactive,Paradox Interactive,PlayStation 4 PC Xbox One,Strategy Management Government,E,Developed by Colossal Order@ Cities: Skylines offers sprawling landscapes and maps with endless sandbox gameplay and new ways to expand your city. Key to progression is the ability to influence your city's policy by incorporating taxation into districts. All this including the ability to mod the game to suit your play style makes this the definitive city building simulation.
American Truck Simulator ,https://static-cdn.jtvnw.net/ttv-boxart/American%20Truck%20Simulator-285x380.jpg,https://www.amazon.com/American-Truck-Simulator-PC/dp/B01IP7ZJPA/ref=sr_1_1?ie=UTF8&qid=1516869394&sr=8-1&keywords=American+Truck+Simulator,Feb 2@ 2016,SCS Software,Excalibur Publishing Limited,PC,Simulation Vehicle Civilian,E,Experience legendary American trucks and deliver various cargoes across sunny California and sandy Nevada. American Truck Simulator takes you on a journey through the breathtaking landscapes and widely recognized landmarks around the States.
Titanfall 2 ,https://static-cdn.jtvnw.net/ttv-boxart/Titanfall%202-285x380.jpg,https://www.amazon.com/Titanfall-2-PlayStation-4/dp/B01GKGVI8U/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516869407&sr=1-1&keywords=Titanfall+2,Oct 28@ 2016,Respawn Entertainment,Electronic Arts,PlayStation 4 PC Xbox One,Action-Shooter First-Person Arcade,M,In single player@ Titanfall 2 delivers a crafted experience that explores the unique bond between man and machine. Playable offline@ the single player campaign in Titanfall 2 lets fans step out onto The Frontier as a Militia rifleman with aspirations of becoming an elite Pilot. Stranded behind enemy lines and facing overwhelming odds@ players must team up with a veteran Titan to uphold a mission they were never meant to carry out. In multiplayer@ Respawn is continuing to evolve their gameplay to provide a more robust experience that delivers expanded depth and variety that includes six new Titans@ deeper Pilot abilities@ more customization options@ and a robust progression system that is sure to satisfy fans. [Electronic Arts]
The Legend of Zelda: The Wind Waker HD ,https://static-cdn.jtvnw.net/ttv-boxart/The%20Legend%20of%20Zelda:%20The%20Wind%20Waker%20HD-285x380.jpg,https://www.amazon.com/Nintendo-Selects-Legend-Zelda-Wind-Waker/dp/B00NJ0HTH0/ref=sr_1_1?ie=UTF8&qid=1516869422&sr=8-1&keywords=The+Legend+of+Zelda%3A+The+Wind+Waker+HD,Sep 20@ 2013,Nintendo, HexaDrive,Wii U,Action-Adventure Fantasy Fantasy Open-World,E10+,"In this ninth entry in the Legend of Zelda series, Link debuts on GameCube with a fun new cel-shaded look, but the game stays true to the respected heritage of the series. The classic mix of sword-swinging action, perplexing puzzles and stirring story lines remains intact, but the stunning cel-shaded graphics give the people and places of Link's watery world a wildly artistic new look. And for the very first time, Link sails freely on the high seas. Join Link on his most epic and scenic adventure yet. Face unimaginable monsters, explore puzzling dungeons, and meet a cast of unforgettable characters as he searches for his kidnapped sister, Aryll."
